Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
4,80,,SOL,,38.21,,JCT. RTE. 113 SOUTH,9100,124000,117000,9500,128000,121000,38.47291317,-121.8237212
4,80,,SOL,,42.67,,JCT. RTE. 113 NORTH,9500,128000,121000,9800,132000,125000,38.52081477,-121.76893
4,80,,SOL,R,44.72,,SOLANO/YOLO CO LINE,9900,133000,125000,,,,38.53758343,-121.7384004
3,80,,YOL,,0,,SOLANO/YOLO CO LINE,,,,9900,133000,125000,38.53758343,-121.7384004
3,80,,YOL,,0.237,,RICHARDS BLVD,9800,131000,125000,11200,133000,122000,38.54011047,-121.7353824
3,80,,YOL,,0.84,,"DAVIS, OLIVE AVE",11200,133000,122000,11100,133000,123000,38.545401,-121.7269028
3,80,,YOL,,2.68,,"DAVIS, MACE BLVD",11100,133000,123000,11800,146000,135000,38.55248286,-121.6942654
3,80,,YOL,,5.781,,WEBSTER /RD 32/CHILES ,11800,146000,135000,12200,152000,139000,38.5632732,-121.6390177
3,80,,YOL,,9.179,,"YOLO CAUSEWAY, W CAPITOL ",12200,152000,139000,11800,155000,150000,38.57412992,-121.5777954
3,80,,YOL,R,9.905,,"WEST SACRAMENTO, RTE. 50",11800,155000,150000,7400,86000,83000,38.57543429,-121.5646534
3,80,,YOL,R,11.228,,JCT. RTE. 84 EAST,7400,86000,83000,7100,91000,86000,38.59195679,-121.5519882
3,80,,YOL,R,11.718,,YOLO/SACRAMENTO CO LINE,7100,91000,86000,,,,38.59818888,-121.5478173
3,80,,SAC,M,0,,YOLO/SACRAMENTO CO LINE,,,,7100,91000,86000,38.59818888,-121.5478173
3,80,,SAC,M,1.355,,WEST EL CAMINO AVE ,7100,91000,86000,6700,88000,84000,38.61516987,-121.5352302
3,80,,SAC,M,2.554,,"SACRAMENTO, JCT. RTE. 5",6700,88000,84000,11300,151000,144000,38.62483434,-121.5170549
3,80,,SAC,M,3.643,,TRUXEL RD,11300,151000,144000,11600,140000,136000,38.63366237,-121.5003228
3,80,,SAC,M,4.983,,NORTHGATE BLVD ,11600,140000,136000,14700,141000,136000,38.64054667,-121.4777451
3,80,,SAC,M,6.116,,"SACRAMENTO, NORWOOD ",14700,141000,136000,10800,143000,138000,38.641246,-121.456922
3,80,,SAC,M,7.634,,"SACRAMENTO, RALEY BLVD",10800,143000,138000,11000,142000,136000,38.64268464,-121.4291595
3,80,,SAC,M,8.669,,"SACRAMENTO, WINTERS ST",11000,142000,136000,14600,146000,140000,38.6372385,-121.4117353
3,80,,SAC,M,9.401,,"SACRAMENTO, LONGVIEW DR",14600,146000,140000,10800,138000,132000,38.63962147,-121.3990737
3,80,,SAC,M,10.361,,WATT AVE,10800,138000,132000,13300,127000,117000,38.64491763,-121.3832547
